Field=#~Integer~#~50|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Number~String~Part Number~100|Field=Temperature~String~Temperature~100|Field=Price~String~Price~100|Field=PriceQty~String~PriceQty~100|Field=PriceSupplier~String~PriceSupplier~100|Field=Quantity~Integer~Quantity~100|Field=HelpURL~String~HelpURL~100|Field=MarkingCode~String~MarkingCode~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SCH-29364_a.PrjPcb|ReportField=ProjectFullPath~C:\Users\almaz\Desktop\Dropbox\windows\schematics\LIDAR\imx6ull_lidar\imx6ull_lidar_Rev3\IMX6_POE\SCH-29364_a.PrjPcb|ReportField=Title~BOM For Variant [release] of Project [SCH-29364_a.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~103|ReportField=ReportTime~14:53:57|ReportField=ReportDate~24.11.2019|ReportField=ReportDateTime~24.11.2019 14:53:57|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~release|ReportField=BoardName~IMX6_Lidar|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~24.11.2019|ReportField=CurrentTime~14:49:21|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\almaz\Desktop\Dropbox\windows\schematics\LIDAR\imx6ull_lidar\imx6ull_lidar_Rev3\IMX6_POE\C-03 eMMC_NAND_TF_QSPI.SchDoc|ReportField=DocumentName~C-03 eMMC_NAND_TF_QSPI.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~24.11.2019|ReportField=Organization~|ReportField=ProjectName~SCH-29364_a.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SCH-29364_a.PrjPcb|ReportField=DataSourceFullPath~C:\Users\almaz\Desktop\Dropbox\windows\schematics\LIDAR\imx6ull_lidar\imx6ull_lidar_Rev3\IMX6_POE\SCH-29364_a.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|IMX6ULL SOM, Header, 3-Pin, Header, 10-Pin, Dual row|B1, P1, P2|m2m-tele.com, [NoValue], [NoValue]|||10,0, [NoValue], [NoValue]|1, [NoValue], [NoValue]||3||
2|OV5640 camera module|B2|Waveshare|Linkit Smart 7688||24,38|1|https://ru.banggood.com/Wareshare-OV5640-Camera-Module-2592x1944-5-Million-Pixels-Expansion-Board-Development-Board-STM32-Camera-p-1478358.html|1|https://www.waveshare.com/ov5640-camera-board-a.htm|
3|3.3V MT7601U Highly integrated USB Wifi Module 150 Mbps|B3|Formike|KWH-7601-U3|-10 ℃ to +70 ℃|3,0|1|https://www.alibaba.com/product-detail/3-3V-MT7601U-Highly-integrated-USB_60788165023.html|1|https://www.alibaba.com/product-detail/3-3V-MT7601U-Highly-integrated-USB_60788165023.html|
4|CAP CER 1000PF 2KV ±10% X7R 1206|C3, C89||CC1206KKX7RDBB102|-55°C ~ 125°C|0,0506|1|https://www.promelec.ru/product/335062/|2|https://www.digikey.com/product-detail/en/yageo/CC1206KKX7RDBB102/311-1487-1-ND/2833793|
5|CAP CER 1000PF 100V ±10% X7R 0603|C4, C8, C39, C91, C92|Yageo|CC0603KRX7R0BB102|-55°C ~ 125°C|0,022|100|https://www.promelec.ru/product/102168/|5|https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R0BB102/311-1467-1-ND/2833773|
6|CAP CER 10000PF 100V ±10% X7R 0603|C5, C10|Yageo|CC0603KRX7R0BB103|-55°C ~ 125°C|0,063|1|https://www.promelec.ru/product/188541/|2|https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R0BB103/311-1788-1-ND/5195690|
7|CAP CER 0.1UF 50V ±10% X5R 0402|C6, C7, C11, C12|Yageo|CC0402KRX5R9BB104|-55°C ~ 85°C|0,028|1|https://www.promelec.ru/product/188429/|4|https://www.digikey.com/product-detail/en/yageo/CC0402KRX5R9BB104/311-3342-1-ND/6818312|
8|CAP CER 470PF 100V ±10% X7R 0603|C9|Yageo|CC0603KRX7R0BB471|-55°C ~ 125°C|0,0358|1|https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R0BB471/311-3634-1-ND/7648561|1|https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R0BB471/311-3634-1-ND/7648561|
9|CAP CER 47UF 10V ±10% X5R 1206|C13, C14, C15, C18|Murata Electronics North America|GRM31CR61A476KE15L|-55°C ~ 85°C|0,18|1|https://www.terraelectronica.ru/product/2098879|4|https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM31CR61A476KE15L/490-9673-1-ND/4934785|
10|CAP CER 0.1UF 50V ±10% X7R 0603|C16|Yageo|CC0603KRX7R9BB104|-55°C ~ 125°C|0,0223|100|https://www.promelec.ru/product/126354/|1|https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R9BB104/311-1344-6-ND/2103174|
11|CAP CER 100PF 50V ±5% C0G/NP0 0402|C17|Murata Electronics North America|GRM1555C1H101JA01D|-55°C ~ 125°C|0,0096|1|https://www.promelec.ru/product/315855/|1|https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H101JA01D/490-5922-1-ND/3721279|
